id,value,rating,freq,city,state,stars
Indian Paradise,4,4,1,Phoenix,AZ,3.0
Nandini Indian Cuisine,8,4,2,Tempe,AZ,5.0
Love India,4,4,1,Edinburgh,EDH,4.0
Origin India Restaurant & Bar,36,3,12,Las Vegas,NV,3.5
Swagat India,8,4,2,Madison,WI,4.0
Indus Village,5,5,1,Chandler,AZ,4.0
India Gate,12,4,3,Chandler,AZ,3.5
Tandoori Times 2 Indian Bistro,32,4,8,Glendale,AZ,3.5
India Garden,28,4,7,Avondale,AZ,4.0
Royal Taj,52,4,13,Tempe,AZ,3.5
Indian Delhi Palace,39,3,13,Phoenix,AZ,3.5
Lancers Brasserie,5,5,1,Edinburgh,EDH,4.0
Taj Palace,87,3,29,Henderson,NV,4.0
Mount Everest India's Cuisine,220,4,55,Las Vegas,NV,4.5
Kebab Mahal,5,5,1,Edinburgh,EDH,4.5
New Saffrani,4,4,1,Edinburgh,EDH,4.0
NASHA Indian Cuisine,2,2,1,Chandler,AZ,3.5
Gandhi India's Cuisine,4,4,1,Las Vegas,NV,3.5
India Palace,36,3,12,Phoenix,AZ,3.5
Tamba Indian Cuisine & Lounge,12,3,4,Las Vegas,NV,3.5
Samosa Factory,88,4,22,Las Vegas,NV,4.0
India's Grill,18,3,6,Mesa,AZ,4.0
Passage To India,16,4,4,Tempe,AZ,4.0
Bombay Spice Grill,6,2,3,Phoenix,AZ,3.5
Indian Paradise,3,3,1,Chandler,AZ,4.5
Chutney's Indian Cuisine,16,4,4,Tempe,AZ,4.0
Shalimar Restaurant,21,3,7,Las Vegas,NV,3.5
Vinyasa,4,4,1,Edinburgh,EDH,4.0
Curry Corner,68,4,17,Tempe,AZ,3.5
Taste of India,1,1,1,Phoenix,AZ,2.0
Sutra Fine Indian Cuisine,8,4,2,Goodyear,AZ,3.5
OM Restaurant,12,4,3,Las Vegas,NV,4.0
Flavors of India,16,4,4,Phoenix,AZ,3.5
India Gate,8,2,4,Gilbert,AZ,3.5
Mantra Masala,10,2,5,Las Vegas,NV,3.5
Indian Paradise 2,5,5,1,Phoenix,AZ,3.5
The Dhaba,124,4,31,Tempe,AZ,4.0
Southern Spice,15,3,5,Tempe,AZ,3.5
Sai India Curry,3,3,1,Las Vegas,NV,3.0
Indian Paradise,40,4,10,Scottsdale,AZ,4.0
Kalpna Restaurant,4,4,1,Edinburgh,EDH,4.0
