id,value,rating,freq,city,state,stars
Kebab Mahal,4,4,4,Edinburgh,EDH,4.5
Mezbaan South Indian Restaurant,1,5,1,Edinburgh,EDH,3.5
New Saffrani,2,4,2,Edinburgh,EDH,4.0
NASHA Indian Cuisine,2,3,2,Chandler,AZ,3.5
Gandhi India's Cuisine,68,2,17,Las Vegas,NV,3.5
Kabob N More,1,1,1,Las Vegas,NV,3.0
India Palace,225,3,25,Phoenix,AZ,3.5
Tamba Indian Cuisine & Lounge,180,3,20,Las Vegas,NV,3.5
Samosa Factory,369,3,41,Las Vegas,NV,4.0
India's Grill,63,3,7,Mesa,AZ,4.0
Passage To India,117,3,13,Tempe,AZ,4.0
Bombay Spice Grill,108,3,12,Phoenix,AZ,3.5
Indian Paradise,1,3,1,Chandler,AZ,4.5
Chutney's Indian Cuisine,72,3,8,Tempe,AZ,4.0
Shalimar Restaurant,108,3,12,Las Vegas,NV,3.5
Vinyasa,1,4,1,Edinburgh,EDH,4.0
Curry Corner,405,3,45,Tempe,AZ,3.5
Taste of India,4,2,4,Phoenix,AZ,2.0
Sutra Fine Indian Cuisine,96,4,6,Goodyear,AZ,3.5
OM Restaurant,144,4,9,Las Vegas,NV,4.0
Flavors of India,336,4,21,Phoenix,AZ,3.5
India Gate,72,3,8,Gilbert,AZ,3.5
Mantra Masala,189,3,21,Las Vegas,NV,3.5
Indian Paradise 2,128,4,8,Phoenix,AZ,3.5
The Dhaba,944,4,59,Tempe,AZ,4.0
Copper Kettle-Salads Balti & Taandoori Grill,5,4,5,Mesa,AZ,3.5
Southern Spice,90,3,10,Tempe,AZ,3.5
Sai India Curry,4,3,4,Las Vegas,NV,3.0
Curry Leaf Indian Grill,1,2,1,Phoenix,AZ,3.0
Indian Paradise,592,4,37,Scottsdale,AZ,4.0
Royal India Bistro,3,3,3,Las Vegas,NV,3.5
Kalpna Restaurant,2,3,2,Edinburgh,EDH,4.0
