id,value,rating,freq,city,state,stars
New India Bazaar,54,3,6,Phoenix,AZ,3.5
Fusion,2,5,2,Cambridge,ON,4.5
Omar Khayyam,2,4,2,Edinburgh,EDH,4.0
Delhi Indian Cuisine,480,4,30,Las Vegas,NV,4.5
Bay Leaf Cafe,40,2,10,Chandler,AZ,3.5
Delhi Palace Cuisine of India,216,3,24,Tempe,AZ,3.5
Masala Bay Fine Indian Dining,2,2,2,Waterloo,ON,3.5
Madras Ananda Bhavan,160,4,10,Phoenix,AZ,4.0
India Palace,882,3,98,Las Vegas,NV,4.0
Taste of India,3,4,3,Madison,WI,4.0
Bawarchi Indian Cuisine,81,3,9,Phoenix,AZ,3.5
The Mosque Kitchen,3,4,3,Edinburgh,EDH,4.0
Star of India,432,4,27,Phoenix,AZ,4.0
Woodlands Vegetarian South Indian Kitchen,3,4,3,Chandler,AZ,4.0
Karaikudi Palace,96,4,6,Scottsdale,AZ,3.5
Mint Indian Bistro,1600,4,100,Las Vegas,NV,4.0
India Oven,192,4,12,Las Vegas,NV,3.5
Kismot,5,4,5,Edinburgh,EDH,4.5
Pak Afghan Halal Restaurant & Catering,2,5,2,Phoenix,AZ,4.0
Indian Paradise,1,4,1,Phoenix,AZ,3.0
Nandini Indian Cuisine,3,4,3,Tempe,AZ,5.0
Love India,1,4,1,Edinburgh,EDH,4.0
Origin India Restaurant & Bar,234,3,26,Las Vegas,NV,3.5
10-to-10 In Delhi,1,5,1,Edinburgh,EDH,4.5
Swagat India,160,4,10,Madison,WI,4.0
Indus Village,4,4,4,Chandler,AZ,4.0
India Gate,5,3,5,Chandler,AZ,3.5
Tandoori Times 2 Indian Bistro,368,4,23,Glendale,AZ,3.5
India Garden,192,4,12,Avondale,AZ,4.0
Royal Taj,576,4,36,Tempe,AZ,3.5
Indian Delhi Palace,288,3,32,Phoenix,AZ,3.5
Lancers Brasserie,1,5,1,Edinburgh,EDH,4.0
Aromas at Island Restaurant,1,4,1,Gilbert,AZ,3.5
Taj Palace,468,3,52,Henderson,NV,4.0
Voujon,1,3,1,Edinburgh,EDH,4.0
Swad,2,4,2,Monona,WI,4.0
Mount Everest India's Cuisine,1440,4,90,Las Vegas,NV,4.5
Kebab Mahal,4,4,4,Edinburgh,EDH,4.5
Mezbaan South Indian Restaurant,1,5,1,Edinburgh,EDH,3.5
New Saffrani,2,4,2,Edinburgh,EDH,4.0
NASHA Indian Cuisine,1,2,1,Chandler,AZ,3.5
Gandhi India's Cuisine,64,2,16,Las Vegas,NV,3.5
Kabob N More,1,1,1,Las Vegas,NV,3.0
India Palace,207,3,23,Phoenix,AZ,3.5
Tamba Indian Cuisine & Lounge,171,3,19,Las Vegas,NV,3.5
Samosa Factory,333,3,37,Las Vegas,NV,4.0
India's Grill,63,3,7,Mesa,AZ,4.0
Passage To India,117,3,13,Tempe,AZ,4.0
Bombay Spice Grill,108,3,12,Phoenix,AZ,3.5
Indian Paradise,1,3,1,Chandler,AZ,4.5
Chutney's Indian Cuisine,72,3,8,Tempe,AZ,4.0
Shalimar Restaurant,108,3,12,Las Vegas,NV,3.5
Vinyasa,1,4,1,Edinburgh,EDH,4.0
Curry Corner,405,3,45,Tempe,AZ,3.5
Taste of India,4,2,4,Phoenix,AZ,2.0
Sutra Fine Indian Cuisine,96,4,6,Goodyear,AZ,3.5
OM Restaurant,112,4,7,Las Vegas,NV,4.0
Flavors of India,153,3,17,Phoenix,AZ,3.5
India Gate,72,3,8,Gilbert,AZ,3.5
Mantra Masala,162,3,18,Las Vegas,NV,3.5
Indian Paradise 2,128,4,8,Phoenix,AZ,3.5
The Dhaba,912,4,57,Tempe,AZ,4.0
Copper Kettle-Salads Balti & Taandoori Grill,5,4,5,Mesa,AZ,3.5
Southern Spice,90,3,10,Tempe,AZ,3.5
Sai India Curry,4,3,4,Las Vegas,NV,3.0
Curry Leaf Indian Grill,1,2,1,Phoenix,AZ,3.0
Indian Paradise,324,3,36,Scottsdale,AZ,4.0
Royal India Bistro,3,3,3,Las Vegas,NV,3.5
Kalpna Restaurant,2,3,2,Edinburgh,EDH,4.0
